Phone,Test Score
Apple iPhone 12 Pro 128 GB,78/100
Apple iPhone 12 Pro 256 GB,79/100
Apple iPhone 12 Pro 512 GB,79/100
Huawei P20 Pro 128 GB,73/100
Samsung Galaxy S10 Plus 128 GB,82/100
Samsung Galaxy S10 128 GB,82/100
Huawei P30 Pro 256 GB,80/100
Huawei P30 Pro 128 GB,80/100
Samsung Galaxy Note 10 Plus 256 GB,88/100
Sony Xperia 5 (2019),75/100
Samsung Galaxy S10 Plus 1 TB,82/100
Samsung Galaxy S20 Plus 4G,79/100
Huawei P40 Pro 128 GB,81/100
OnePlus 8 Pro 256 GB,84/100
OnePlus 8 Pro 128 GB,84/100
OnePlus 8 (2020) 128 GB,82/100
OnePlus 8 (2020) 256 GB,82/100
Motorola Edge+ (2020),84/100
Sony Xperia 1 II (2020),79/100
Samsung Galaxy Note 20 Ultra 256 GB,95/100
Samsung Galaxy Note 20 Ultra 512 GB,95/100
Sony Xperia 5 II (2020),86/100
Samsung Galaxy S7 32GB,72/100
Huawei Mate 9 Pro,69/100
Samsung Galaxy S9,72/100
Samsung Galaxy Note9 128 GB,74/100
Apple iPhone Xs Max 256 GB,63/100
Apple iPhone Xs Max 64 GB,63/100
Apple iPhone Xs 64 GB,57/100
Samsung Galaxy S9 Plus,74/100
Huawei Mate 20 Pro,75/100
Sony Xperia XZ3,69/100
Apple iPhone Xs 256 GB,56/100
Apple iPhone Xs 512 GB,56/100
Huawei P30 (2019),82/100
Sony Xperia 1 (2019),73/100
OnePlus 7 (2019),57/100
Samsung Galaxy S10 Plus 512 GB,82/100
Sony Xperia 10 (2019),64/100
OnePlus 7 Pro (2019) 8 GB RAM + 256 GB hukommelse,69/100
Apple iPhone Xs Max 512 GB,63/100
Apple iPhone 11 Pro 64 GB,72/100
Apple iPhone 11 Pro 256 GB,72/100
Apple iPhone 11 Pro 512 GB,72/100
Apple iPhone 11 Pro Max 64 GB,76/100
Apple iPhone 11 Pro Max 256 GB,76/100
Apple iPhone 11 Pro Max 512 GB,76/100
OnePlus 7T Pro,74/100
OnePlus 7T (2019),79/100
Motorola RAZR,69/100
