廠牌,型號,上市日期,建議售價,目前售價,主要系統,4G,5G,雙卡雙待,CA,CA功能,作業系統,處理器,處理器核心,RAM,ROM,顏色,尺寸,重量,SIM,eSIM,電池,快速充電,快充技術,無線充電,防水防塵,主螢幕,副螢幕,HDR,螢幕技術,鏡頭,閃光燈,錄影解析度,攝錄功能,鏡頭,閃光燈,3.5mm耳機孔,立體聲雙喇叭,FM 收音機,影音功能,WiFi,藍牙,GPS,NFC,USB,USB介面,記憶卡,記憶卡槽,更多功能,指紋辨識(按鍵),螢幕指紋辨識,3D臉部辨識,感應器,更多功能
Apple,iPhone 12 (128GB),2020-10-23,"$28,500","$25,900",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,有,無,未提供,未提供,iOS,Apple A14,六核心,4GB,128GB,黑色、白色、藍色、紅色、綠色,146.7 x 71.5 x 7.4 (mm),162 (g),nanoSIM,有,2775 mAh (固定式),有,20W 有線快充、15W 無線快充,有,IP68,OLED、6.1 吋、2532 x 1170 pixel,X,有,"HDR 顯示
原彩顯示
廣色域 (P3)
觸覺回饋觸控
2,000,000:1 對比度 (標準)
625 尼特最大亮度 (標準)；1200 尼特最大亮度 (HDR)","1200 萬畫素、AF、OIS
廣角鏡頭、f1.6 光圈、七枚鏡片組
1200 萬畫素
超廣角鏡頭、f2.4 光圈、120 度視角、五枚鏡片組",有,4K@60fps,"2 倍光學變焦縮小
最高可達 5 倍數位變焦
夜間模式 (超廣角、廣角)
深度融合 (超廣角、廣角)
智慧型 HDR 3 具備場景偵測功能
拍攝廣色域的照片與原況照片
鏡頭校正 (超廣角)
先進的紅眼校正功能
自動影像穩定功能","1200 萬畫素、AF
f2.2 光圈",無,無,有,無,未提供,802.11ax,v5.0,有,有,-,Lightning,無,N/A,未提供,無,無,有,Face ID、氣壓計、三軸陀螺儀、加速感應器、距離感應器、環境光線感應器,未提供
Apple,iPhone 12 Pro Max (256GB),2020-11-13,"$41,400","$39,900",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,有,無,未提供,未提供,iOS,Apple A14,六核心,6GB,256GB,金色、銀色、石墨、太平洋藍,160.84 x 78.1 x 7.4 (mm),226 (g),nanoSIM,有,3687 mAh (固定式),有,15W 無線快充,有,IP68,OLED、6.7 吋、2778 x 1284 pixel,X,有,"超 Retina XDR 顯示器
HDR 顯示
原彩顯示
廣色域 (P3)
觸覺回饋觸控
2,000,000:1 對比度 (標準)
800 尼特最大亮度 (標準)；1200 尼特最大亮度 (HDR)","1200 萬畫素、AF、OIS
廣角鏡頭、f1.6 光圈、感光元件位移式光學影像穩定功能、七枚鏡片組
1200 萬畫素
超廣角鏡頭、f2.4 光圈、120 度視野、五枚鏡片組
1200 萬畫素、AF、OIS
望遠鏡頭、f2.2 光圈、六枚鏡片組",有,4K@60fps,"2.5 倍光學變焦放大，2 倍光學變焦縮小；5 倍光學變焦範圍
最高可達 12 倍數位變焦
夜間模式人像拍攝 (使用光學雷達掃描儀執行)
夜間模式 (超廣角、廣角)
深度融合 (超廣角、廣角、望遠)
智慧型 HDR 3 具備場景偵測功能
Apple ProRAW
拍攝廣色域的照片與原況照片
鏡頭校正 (超廣角)","1200 萬畫素
f2.2 光圈",無,無,有,無,未提供,802.11ax,v5.0,有,有,-,Lightning,無,N/A,5G (sub-6 GHz),無,無,有,Face ID、氣壓感測器、三軸陀螺儀、加速度計、接近感測器、環境光度感測器,光學雷達掃描儀
Apple,iPhone 11 (128GB),2019-09-20,"$26,900","$20,000",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,無,有 (4G+4G),5,未提供,iOS,Apple A13,六核心,4GB,128GB,黑色、綠色、黃色、紫色、紅色、白色,150.9 x 75.7 x 8.3 (mm),194 (g),nanoSIM,有,3110 mAh (固定式),有,USB-PD、18W 快速充電 (充電器另購),有,IP68,IPS TFT、6.1 吋、1792 x 828 pixel,X,-,"326ppi 像素密度
1400:1 對比度
原彩顯示、廣色域顯示 (P3)
觸覺回饋觸控
625 nits 最高亮度","1200 萬畫素、AF、OIS
廣角鏡頭、F1.8 光圈、六鏡片鏡頭
1200 萬畫素、AF
超廣角鏡頭、F2.4 光圈、120度視角、五鏡片鏡頭",有,4K 60FPS,"最高五倍數位變焦
人像模式 (散景效果與景深控制)
人像光線具備六種效果
全景模式 6300 萬畫素
100% Focus Pixels (廣角)
夜間模式
新一代智慧 HDR
QuickTake 快速錄影功能
4K 錄影 (24/30/60FPS)、音訊變焦
1080p 慢動作影片 (120/240FPS)
前相機支援 4K 60FPS 錄影、1080p 120FPS 慢動作影片","1200 萬畫素
F2.2 光圈",無,無,有,無,"Dolby Vision、HDR10
AirPlay 鏡像輸出
最長 17 小時影片播放電力
最長 65 小時音樂播放電力",802.11ax,v5.0,有,有,2.0,Lightning,無,N/A,"LTE 2x2 MIMI、LAA
WiFi 6 2x2 MIMO",無,無,有,"Face ID
氣壓感測器、三軸陀螺儀、加速度計、接近感測器、環境光度感測器
內建全球定位系統 (GPS)/全球導航衛星系統 (GNSS)","18W 快速充電 (充電器另購)
無線充電 (Qi 標準，充電器另購)"
Apple,iPhone 12 Pro Max (128GB),2020-11-13,"$37,900","$37,800",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,有,無,未提供,未提供,iOS,Apple A14,六核心,6GB,128GB,金色、銀色、石墨、太平洋藍,160.84 x 78.1 x 7.4 (mm),226 (g),nanoSIM,有,3687 mAh (固定式),有,15W 無線快充,有,IP68,OLED、6.7 吋、2778 x 1284 pixel,X,有,"超 Retina XDR 顯示器
HDR 顯示
原彩顯示
廣色域 (P3)
觸覺回饋觸控
2,000,000:1 對比度 (標準)
800 尼特最大亮度 (標準)；1200 尼特最大亮度 (HDR)","1200 萬畫素、AF、OIS
廣角鏡頭、f1.6 光圈、感光元件位移式光學影像穩定功能、七枚鏡片組
1200 萬畫素
超廣角鏡頭、f2.4 光圈、120 度視野、五枚鏡片組
1200 萬畫素、AF、OIS
望遠鏡頭、f2.2 光圈、六枚鏡片組",有,4K@60fps,"2.5 倍光學變焦放大，2 倍光學變焦縮小；5 倍光學變焦範圍
最高可達 12 倍數位變焦
夜間模式人像拍攝 (使用光學雷達掃描儀執行)
夜間模式 (超廣角、廣角)
深度融合 (超廣角、廣角、望遠)
智慧型 HDR 3 具備場景偵測功能
Apple ProRAW
拍攝廣色域的照片與原況照片
鏡頭校正 (超廣角)","1200 萬畫素
f2.2 光圈",無,無,有,無,未提供,802.11ax,v5.0,有,有,-,Lightning,無,N/A,5G (sub-6 GHz),無,無,有,Face ID、氣壓感測器、三軸陀螺儀、加速度計、接近感測器、環境光度感測器,光學雷達掃描儀
Apple,iPhone 12 Pro (128GB),2020-10-23,"$33,900","$33,900",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,有,無,未提供,未提供,iOS,Apple A14,六核心,6GB,128GB,金色、銀色、石墨、太平洋藍,146.7 x 71.5 x 7.4 mm (mm),187 (g),nanoSIM,有,2815 mAh (固定式),有,15W 無線快充,有,IP68,OLED、6.1 吋、2532 x 1170 pixel,X,有,"超 Retina XDR 顯示器
HDR 顯示
原彩顯示
廣色域 (P3)
觸覺回饋觸控
2,000,000:1 對比度 (標準)
800 尼特最大亮度 (標準)；1200 尼特最大亮度 (HDR)","1200 萬畫素、AF、OIS
廣角鏡頭、f1.6 光圈、七枚鏡片組
1200 萬畫素
超廣角鏡頭、f2.4 光圈、120 度視野、五枚鏡片組
1200 萬畫素、AF、OIS
望遠鏡頭、f2.0 光圈、六枚鏡片組",有,4K@60fps,"2 倍光學變焦放大，2 倍光學變焦縮小；4 倍光學變焦範圍
最高可達 10 倍數位變焦
夜間模式人像拍攝 (使用光學雷達掃描儀執行)
夜間模式 (超廣角、廣角)
深度融合 (超廣角、廣角、望遠)
智慧型 HDR 3 具備場景偵測功能
Apple ProRAW
拍攝廣色域的照片與原況照片
鏡頭校正 (超廣角)","1200 萬畫素
f2.2 光圈",無,無,有,無,未提供,802.11ax,v5.0,有,有,-,Lightning,無,N/A,5G (sub-6 GHz),無,無,有,Face ID、氣壓感測器、三軸陀螺儀、加速度計、接近感測器、環境光度感測器,光學雷達掃描儀
Apple,iPhone 12 mini (64GB),2020-11-13,"$23,900","$22,500",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,有,無,未提供,未提供,iOS,Apple A14,六核心,4GB,64GB,黑色、白色、紅色、綠色、藍色,131.5 x 64.2 x 7.4 (mm),133 (g),nanoSIM,有,2227 mAh (固定式),有,20W 有線快充、15W 無線快充,有,IP68,OLED、5.4 吋、2340 x 1080 pixel,X,有,"HDR 顯示
原彩顯示
廣色域 (P3)
觸覺回饋觸控
2,000,000:1 對比度 (標準)
625 尼特最大亮度 (標準)；1200 尼特最大亮度 (HDR)
防指印疏油外膜
支援同時顯示多種語言文字","1200 萬畫素、AF、OIS
廣角鏡頭、f1.6 光圈、七枚鏡片組
1200 萬畫素
超廣角鏡頭、f2.4 光圈、120 度視角、五枚鏡片組",有,4K@60fps,"2 倍光學變焦縮小
最高可達 5 倍數位變焦
夜間模式 (超廣角、廣角)
深度融合 (超廣角、廣角)
智慧型 HDR 3 具備場景偵測功能
拍攝廣色域的照片與原況照片
鏡頭校正 (超廣角)
先進的紅眼校正功能
自動影像穩定功能","1200 萬畫素
f2.2 光圈",無,無,有,無,未提供,802.11ax,v5.0,有,有,-,Lightning,無,N/A,未提供,無,無,有,Face ID、氣壓計、三軸陀螺儀、加速感應器、距離感應器、環境光線感應器,未提供
Apple,iPhone 12 mini (128GB),2020-11-13,"$25,500","$24,100",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,無,無,未提供,未提供,iOS,Apple A14,六核心,4GB,128GB,黑色、白色、紅色、綠色、藍色,131.5 x 64.2 x 7.4 (mm),133 (g),nanoSIM,有,2227 mAh (固定式),有,20W 有線快充、15W 無線快充,有,IP68,OLED、5.4 吋、2340 x 1080 pixel,X,有,"HDR 顯示
原彩顯示
廣色域 (P3)
觸覺回饋觸控
2,000,000:1 對比度 (標準)
625 尼特最大亮度 (標準)；1200 尼特最大亮度 (HDR)
防指印疏油外膜
支援同時顯示多種語言文字","1200 萬畫素、AF、OIS
廣角鏡頭、f1.6 光圈、七枚鏡片組
1200 萬畫素
超廣角鏡頭、f2.4 光圈、120 度視角、五枚鏡片組",有,4K@60fps,"2 倍光學變焦縮小
最高可達 5 倍數位變焦
夜間模式 (超廣角、廣角)
深度融合 (超廣角、廣角)
智慧型 HDR 3 具備場景偵測功能
拍攝廣色域的照片與原況照片
鏡頭校正 (超廣角)
先進的紅眼校正功能
自動影像穩定功能","1200 萬畫素
f2.2 光圈",無,無,有,無,未提供,802.11ax,v5.0,有,有,-,Lightning,無,N/A,未提供,無,無,有,Face ID、氣壓計、三軸陀螺儀、加速感應器、距離感應器、環境光線感應器,未提供
Apple,iPhone 11 Pro Max (256GB),2019-09-20,"$45,400","$38,500",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,無,有 (4G+4G),5,未提供,iOS,Apple A13,六核心,4GB,256GB,金色、太空灰色、銀色、夜幕綠色,158 x 77.8 x 8.1 (mm),226 (g),nanoSIM,有,3969 mAh (固定式),有,USB PD快充、18W 快速充電 (內附快充充電器),有,IP68,OLED、6.5 吋、2688 x 1242 pixel,X,有,"458ppi 像素密度
800 nits 最高亮度 (標準)
1200 nits 峰值亮度 (HDR)
2,000,000:1 對比度
HDR 顯示技術","1200 萬畫素、AF、OIS
廣角鏡頭、F1.8 光圈、六鏡片鏡頭
1200 萬畫素、AF、OIS
長焦鏡頭、F2.0 光圈、六鏡片鏡頭
1200 萬畫素
超廣角鏡頭、F2.4 光圈、120度視角、五鏡片鏡頭",有,4K 60FPS,"2 倍光學變焦放大，2 倍光學變焦縮小、最高 10 倍數位變焦
人像模式 (散景效果、景深控制)
人像光線具備六種效果
全景模式 (最高 6300 萬像素)
100% Focus Pixels (廣角)
夜間模式、自動調整、新一代照片智慧型 HDR
拍攝廣色域的照片與原況照片
4K 錄影 (24/30/60FPS)
4K 錄影中可拍攝 800 萬畫素相片
QuickTake 影片具備主體追蹤功能
1080p 慢動作影片 (120/240FPS)
錄影穩定功能 (4K/1080p/720p)
立體聲錄音
前相機 f/2.2、支援 4K 錄影 (24/30/60FPS)
自拍支援 1080p 120FPS 慢動作錄影
新一代照片智慧型 HDR","1200 萬畫素
F2.2 光圈",無,無,有,無,"Dolby Vision、HDR10
AirPlay 鏡像輸出
最長 20 小時影片播放電力
最長 80 小時音樂播放電力",802.11ax,v5.0,有,有,2.0,Lightning,無,N/A,"LTE 4x4 MIMO、LAA
WiFi 2x2 MIMO",無,無,有,"Face ID
氣壓感測器、三軸陀螺儀、加速度計、接近感測器、環境光度感測器","18W 快速充電 (內附快充充電器)
無線充電 (Qi 標準，充電器另購)"
Apple,iPhone XS Max (256GB),2018-09-21,"$45,500","$28,900",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,無,有,4,未提供,iOS,Apple A12,六核心,4GB,256GB,金、銀、太空灰,157.5 x 77.4 x 7.7 (mm),208 (g),nanoSIM,有,3174 mAh (固定式),有,USB-PD,有,IP68,OLED、6.5 吋、2688 x 1242 pixel,X,有,"Super Retina
HDR 10 顯示技術
Dolby Vision
458ppi
1000000:1 對比度
廣色域顯示 (P3)
3D 觸控
625 cd/m2 最大亮度 (標準)
防指印疏油外膜","1200 萬畫素、AF、OIS
廣角鏡頭、F1.8 光圈、1.4um、六枚鏡片組、藍寶石水晶玻璃保護鏡、背照式感光元件、混合式 IR 濾鏡
1200 萬畫素、OIS
望遠鏡頭、F2.4 光圈、六枚鏡片組、藍寶石水晶玻璃保護鏡、背照式感光元件、混合式 IR 濾鏡",有,4K 60FPS,"Smart HDR (照片智慧型 HDR 效果)
人像光線(自然光、攝影棚燈光、輪廓光、舞台燈光、舞台燈光黑白)
景深調整模式 (先拍照後調整光圈效果)
六枚鏡片組
4-LED 原彩閃光燈具備慢速同步
6300 萬畫素全景模式
慢動作攝影 1080p (120 fps 或 240 fps)
立體聲錄影收音
Animoji 與 Memoji
TrueDepth 前相機","700 萬畫素
F2.2 光圈、背照式感光元件",無,無,有,無,未提供,802.11ac,v5.0,有,有,-,Lightning,無,N/A,"802.11ac Wi-Fi，具 2x2 MIMO 技術
4x4 MIMO 與 LAA 技術
nano-SIM 與 eSIM (使用 eSIM 需視電信業者是否支援)",無,無,有,"輔助式全球定位系統 (A-GPS)
全球導航衛星系統 (GLONASS)
伽利略定位系統 (Galileo)
準天頂衛星系統 (QZSS)
數位指南針、iBeacon 微型定位服務
氣壓感測器、三軸陀螺儀、加速感測器、接近感測器、環境光度感測器","AR 擴增實境
Siri 語音助理
FaceID 原深感測相機進行面孔辨識
快速充電 (充電 30 分達 50% 電量)"
Apple,iPhone SE (2020) 128GB,2020-04-24,"$16,500","$13,600",GSM/WCDMA/LTE,LTE 700 + 900 + 1800 + FDD 2600 + TDD 2600,無,有 (4G+4G),未提供,未提供,iOS,Apple A13,六核心,3GB,128GB,黑色、白色、(PRODUCT) RED,138.4 x 67.3 x 7.3 (mm),148 (g),nanoSIM,有,1821 mAh (固定式),有,18W PD,有,IP67,IPS TFT、4.7 吋、1334 x 750 pixel,X,有,"326 ppi 解析度
1400:1 對比度 (標準)
原彩顯示
廣色域顯示 (P3)
觸覺回饋觸控
625 尼特最大亮度 (標準)
防指印疏油外膜
螢幕縮放
螢幕上方觸控","1200 萬畫素、AF、OIS
ƒ/1.8 光圈、最高可達 5 倍數位變焦、六枚鏡片組",有,4K 60FPS,"人像模式具備先進的散景效果與景深控制
人像光線具備六種效果 (自然光、攝影棚燈光、輪廓光、舞台燈光、舞台燈光黑白、高色調燈光黑白)
LED 原彩閃光燈具備慢速同步
全景模式 (最高可達 6300 萬像素)
藍寶石水晶玻璃保護鏡
自動對焦，採用 Focus Pixels
拍攝廣色域的照片與原況照片
新一代照片智慧型 HDR
先進的紅眼校正功能
自動影像穩定功能
連拍模式
照片地理位置標記
前相機：
人像模式具備先進的散景效果與景深控制
人像光線具備六種效果 (自然光、攝影棚燈光、輪廓光、舞台燈光、舞台燈光黑白、高色調燈光黑白)
1080p HD 影片拍攝，30 fps
Retina 閃光燈
影片快錄功能
拍攝廣色域的照片與原況照片
照片自動 HDR
自動影像穩定功能
連拍模式
電影級視訊穩定功能 (1080p 與 720p)
影片錄製：
4K 影片拍攝，24 fps、30 fps 或 60 fps
1080p HD 影片拍攝，30 fps 或 60 fps
720p HD 影片拍攝，30 fps
延伸動態範圍影片拍攝，最高可達 30 fps
支援 1080p (120 fps 或 240 fps) 的慢動作影片","700 萬畫素
ƒ/2.2 光圈",有,無,無,無,支援杜比視界與 HDR10 內容,802.11ax,v5.0,有,有,2.0,Lightning,無,N/A,"FDD-LTE (頻段 1、2、3、4、5、7、8、11、12、13、17、18、19、20、21、25、26、28、29、30、32、66)
TD‑LTE (頻段 34、38、39、40、41、42、46、48)
CDMA EV‑DO Rev. A (800、1900 MHz)
UMTS/HSPA+/DC-HSDPA (850、900、1700/2100、1900、2100 MHz)
GSM/EDGE (850、900、1800、1900 MHz)
Gigabit 等級 LTE，具 2x2 MIMO 與 LAA 技術4
802.11ax Wi‑Fi 6，具 2x2 MIMO 技術
藍牙 5.0 無線技術
NFC 具備讀取模式
可使用備用電量的快速卡
內建全球定位系統 (GPS)/全球導航衛星系統 (GNSS)
Voice over LTE (VoLTE)
Wi-Fi 通話
雙 SIM 卡 (nano-SIM 與 eSIM)",有,無,無,"Touch ID 指紋感測器
氣壓感測器
三軸陀螺儀
加速度計
接近感測器
環境光度感測器",充電 30 分鐘最高可達 50% 電量，須使用 18W 或更高功率轉接器eSIM + nano SIM 雙卡雙待
